Log Cluster: ID_20260116_160908_430076
------------------------------------------------
SETTINGS:
Minimum Confidence: 0.35
Minimum Area: 100
Aspect Ratio Range: 0.25 - 4.0
Frame Resolution: 388 x 690
------------------------------------------------
ID: 1 | frame: 3 | start: 2026-01-16 16:09:12.585 | end: 2026-01-16 16:09:12.587 | process: 0.002s | people detected: 2
ID: 2 | frame: 6 | start: 2026-01-16 16:09:13.936 | end: 2026-01-16 16:09:13.938 | process: 0.002s | people detected: 2
ID: 3 | frame: 9 | start: 2026-01-16 16:09:15.314 | end: 2026-01-16 16:09:15.316 | process: 0.002s | people detected: 2
ID: 4 | frame: 12 | start: 2026-01-16 16:09:16.679 | end: 2026-01-16 16:09:16.680 | process: 0.001s | people detected: 2
ID: 5 | frame: 15 | start: 2026-01-16 16:09:18.047 | end: 2026-01-16 16:09:18.049 | process: 0.002s | people detected: 2
ID: 6 | frame: 18 | start: 2026-01-16 16:09:19.412 | end: 2026-01-16 16:09:19.414 | process: 0.003s | people detected: 2
ID: 7 | frame: 21 | start: 2026-01-16 16:09:20.771 | end: 2026-01-16 16:09:20.773 | process: 0.003s | people detected: 2
ID: 8 | frame: 24 | start: 2026-01-16 16:09:22.080 | end: 2026-01-16 16:09:22.082 | process: 0.002s | people detected: 2
ID: 9 | frame: 27 | start: 2026-01-16 16:09:23.384 | end: 2026-01-16 16:09:23.386 | process: 0.002s | people detected: 2
ID: 10 | frame: 30 | start: 2026-01-16 16:09:24.722 | end: 2026-01-16 16:09:24.724 | process: 0.002s | people detected: 2
ID: 11 | frame: 33 | start: 2026-01-16 16:09:26.096 | end: 2026-01-16 16:09:26.098 | process: 0.002s | people detected: 2
ID: 12 | frame: 36 | start: 2026-01-16 16:09:27.424 | end: 2026-01-16 16:09:27.426 | process: 0.002s | people detected: 2
ID: 13 | frame: 39 | start: 2026-01-16 16:09:28.839 | end: 2026-01-16 16:09:28.842 | process: 0.003s | people detected: 2
ID: 14 | frame: 42 | start: 2026-01-16 16:09:30.313 | end: 2026-01-16 16:09:30.316 | process: 0.003s | people detected: 2
ID: 15 | frame: 45 | start: 2026-01-16 16:09:31.722 | end: 2026-01-16 16:09:31.723 | process: 0.001s | people detected: 2
ID: 16 | frame: 48 | start: 2026-01-16 16:09:33.109 | end: 2026-01-16 16:09:33.110 | process: 0.001s | people detected: 2
ID: 17 | frame: 51 | start: 2026-01-16 16:09:34.469 | end: 2026-01-16 16:09:34.471 | process: 0.003s | people detected: 2
ID: 18 | frame: 54 | start: 2026-01-16 16:09:35.828 | end: 2026-01-16 16:09:35.831 | process: 0.002s | people detected: 2
ID: 19 | frame: 57 | start: 2026-01-16 16:09:37.186 | end: 2026-01-16 16:09:37.188 | process: 0.002s | people detected: 2
ID: 20 | frame: 60 | start: 2026-01-16 16:09:38.555 | end: 2026-01-16 16:09:38.557 | process: 0.003s | people detected: 2
